iter	RMSE
0	33.77614304
1	32.83589296
2	31.91171883
3	31.01042598
4	30.15480189
5	29.33276218
6	28.50820936
7	27.72848116
8	26.96446126
9	26.20044178
10	25.46845809
11	24.7385992
12	24.05205822
13	23.37589995
14	22.73333205
15	22.09717922
16	21.48042662
17	20.89475752
18	20.31771218
19	19.75191074
20	19.22344161
21	18.68468284
22	18.19110043
23	17.69719653
24	17.20783511
25	16.74200158
26	16.31388152
27	15.88980976
28	15.47002989
29	15.05988021
30	14.66290542
31	14.26479846
32	13.87631772
33	13.51222582
34	13.15593667
35	12.79762303
36	12.44479442
37	12.11095151
38	11.79344867
39	11.48593063
40	11.17453877
41	10.87893866
42	10.59179966
43	10.306795
44	10.02691552
45	9.758858599
46	9.512368764
47	9.252658913
48	9.011704718
49	8.780081949
50	8.559669681
51	8.342085215
52	8.125948883
53	7.913681438
54	7.710436564
55	7.520504432
56	7.326715116
57	7.155010022
58	6.973969124
59	6.803603378
60	6.640176511
61	6.471239686
62	6.315116136
63	6.160030097
64	6.013700873
65	5.870735739
66	5.731001011
67	5.596250899
68	5.4682451
69	5.33154953
70	5.213201351
71	5.089395572
72	4.976296592
73	4.870366968
74	4.75929445
75	4.653757766
76	4.555168079
77	4.445690244
78	4.353603891
79	4.258321326
80	4.167770737
81	4.077255075
82	3.991403336
83	3.911978677
84	3.833534946
85	3.76283282
86	3.683019096
87	3.607146586
88	3.53603569
89	3.473054055
90	3.412234673
91	3.347647434
92	3.291092832
93	3.229790282
94	3.170635174
95	3.12039974
96	3.061369887
97	3.01167061
98	2.95406792
99	2.907017811
100	2.865630989
101	2.823684991
102	2.77124355
103	2.731622516
104	2.689623127
105	2.648956623
106	2.607553818
107	2.573085998
108	2.531499628
109	2.499710337
110	2.470249232
111	2.445295034
112	2.41548653
113	2.375793969
114	2.346326462
115	2.314348205
116	2.287126232
117	2.259422246
118	2.238396685
119	2.213094084
120	2.188933125
121	2.168618455
122	2.146815953
123	2.124911672
124	2.10579441
125	2.088896704
126	2.069446016
127	2.050753114
128	2.029278919
129	2.012773971
130	1.987843222
131	1.967725434
132	1.952669786
133	1.937105058
134	1.919266257
135	1.901654307
136	1.886729126
137	1.874963992
138	1.861297074
139	1.848252284
140	1.833923676
141	1.823082301
142	1.808915656
143	1.797511029
144	1.78116405
145	1.771998587
146	1.763345155
147	1.75426668
148	1.742152763
149	1.733045494
150	1.719192408
151	1.710060247
152	1.69821417
153	1.690150791
154	1.67916233
155	1.672628303
