iter	Passed	Remaining
0	139	111852
1	148	59323
2	163	43546
3	176	35041
4	188	29989
5	199	26447
6	209	23686
7	217	21533
8	225	19847
9	234	18513
10	242	17403
11	250	16471
12	258	15665
13	266	14983
14	275	14401
15	283	13914
16	291	13439
17	299	13032
18	308	12664
19	315	12315
20	323	11999
21	331	11734
22	339	11457
23	346	11202
24	353	10954
25	360	10729
26	367	10524
27	374	10338
28	382	10164
29	389	9989
30	396	9823
31	404	9705
32	412	9594
33	420	9469
34	427	9335
35	435	9237
36	443	9146
37	450	9036
38	458	8941
39	465	8843
40	473	8760
41	480	8676
42	488	8598
43	495	8518
44	503	8452
45	510	8372
46	518	8302
47	525	8236
48	533	8171
49	540	8105
50	547	8040
51	554	7980
52	561	7919
53	569	7861
54	576	7809
55	583	7751
56	590	7698
57	597	7644
58	604	7591
59	611	7541
60	618	7491
61	625	7441
62	631	7392
63	638	7343
64	645	7297
65	652	7253
66	659	7212
67	666	7174
68	675	7159
69	680	7098
70	687	7063
71	695	7034
72	703	7001
73	710	6969
74	717	6939
75	725	6909
76	732	6881
77	740	6849
78	749	6844
79	762	6861
80	772	6858
81	780	6837
82	788	6812
83	795	6780
84	802	6750
85	809	6719
86	816	6692
87	823	6662
88	830	6634
89	837	6605
90	844	6577
91	851	6551
92	858	6525
93	865	6504
94	873	6480
95	880	6456
96	887	6435
97	895	6414
98	902	6389
99	909	6366
100	917	6352
101	926	6338
102	935	6332
103	943	6316
104	952	6301
105	962	6300
106	974	6314
107	982	6297
108	991	6282
109	999	6268
110	1008	6261
111	1016	6245
112	1025	6231
113	1032	6213
114	1039	6193
115	1047	6178
116	1056	6166
117	1064	6154
118	1072	6139
119	1079	6117
120	1086	6096
121	1093	6077
122	1100	6058
123	1107	6038
124	1115	6023
125	1123	6011
126	1131	5996
127	1138	5976
128	1145	5958
129	1152	5938
130	1158	5918
131	1165	5899
132	1173	5886
133	1182	5876
134	1192	5872
135	1201	5865
136	1212	5867
137	1220	5856
138	1228	5842
139	1235	5826
140	1243	5811
141	1250	5795
142	1259	5784
143	1266	5770
144	1274	5755
145	1281	5740
146	1288	5725
147	1296	5711
148	1303	5697
149	1311	5683
150	1319	5671
151	1326	5657
152	1334	5643
153	1340	5624
154	1347	5609
155	1354	5593
156	1361	5578
157	1369	5564
158	1375	5546
159	1382	5531
160	1390	5516
161	1396	5501
162	1404	5488
163	1411	5472
164	1417	5456
165	1424	5441
166	1431	5427
167	1438	5413
168	1445	5397
169	1451	5380
170	1461	5376
171	1470	5367
172	1477	5353
173	1484	5341
174	1491	5327
175	1499	5315
176	1506	5302
177	1514	5292
178	1522	5280
179	1529	5269
180	1537	5259
181	1545	5246
182	1553	5236
183	1560	5224
184	1568	5214
185	1576	5205
186	1584	5194
187	1592	5184
188	1600	5173
189	1607	5162
190	1616	5153
191	1636	5182
192	1642	5167
193	1649	5152
194	1656	5139
195	1664	5130
196	1671	5116
197	1678	5103
198	1685	5091
199	1692	5078
200	1699	5065
201	1707	5054
202	1715	5043
203	1722	5033
204	1731	5026
205	1740	5019
206	1750	5014
207	1758	5005
208	1766	4994
209	1773	4981
210	1779	4968
211	1787	4956
212	1795	4947
213	1803	4937
214	1810	4927
215	1818	4915
216	1825	4903
217	1832	4893
218	1840	4881
219	1848	4872
220	1855	4860
221	1862	4848
222	1869	4837
223	1877	4826
224	1885	4817
225	1892	4805
226	1898	4793
227	1906	4782
228	1912	4769
229	1919	4757
230	1926	4745
231	1933	4734
232	1940	4722
233	1948	4711
234	1954	4700
235	1961	4688
236	1968	4676
237	1975	4665
238	1995	4684
239	2001	4671
240	2008	4659
241	2015	4646
242	2022	4636
243	2030	4625
244	2036	4613
245	2044	4604
246	2054	4599
247	2062	4590
248	2069	4580
249	2077	4570
250	2085	4560
251	2092	4551
252	2100	4541
253	2109	4535
254	2116	4524
255	2124	4514
256	2131	4504
257	2138	4493
258	2146	4483
259	2153	4473
260	2161	4463
261	2168	4453
262	2176	4443
263	2184	4434
264	2193	4428
265	2200	4416
266	2206	4405
267	2214	4395
268	2221	4385
269	2230	4378
270	2238	4370
271	2245	4359
272	2252	4348
273	2259	4338
274	2267	4328
275	2273	4317
276	2281	4307
277	2288	4297
278	2295	4287
279	2306	4283
280	2314	4275
281	2321	4265
282	2329	4256
283	2337	4246
284	2345	4237
285	2352	4228
286	2359	4218
287	2367	4208
288	2374	4199
289	2382	4190
290	2390	4180
291	2398	4172
292	2405	4162
293	2412	4152
294	2420	4143
295	2427	4132
296	2434	4122
297	2440	4111
298	2447	4100
299	2454	4090
300	2462	4081
301	2469	4071
302	2475	4061
303	2482	4051
304	2489	4040
305	2496	4030
306	2503	4020
307	2510	4010
308	2517	4000
309	2524	3990
310	2532	3981
311	2539	3971
312	2545	3961
313	2552	3950
314	2560	3942
315	2567	3932
316	2576	3925
317	2583	3916
318	2591	3907
319	2599	3899
320	2606	3890
321	2614	3881
322	2621	3872
323	2629	3862
324	2636	3853
325	2644	3844
326	2651	3835
327	2659	3826
328	2666	3817
329	2673	3808
330	2681	3799
331	2688	3789
332	2695	3779
333	2701	3768
334	2708	3759
335	2717	3752
336	2726	3745
337	2735	3738
338	2743	3730
339	2750	3721
340	2757	3711
341	2764	3702
342	2771	3692
343	2777	3682
344	2784	3672
345	2791	3663
346	2798	3653
347	2805	3644
348	2812	3634
349	2818	3624
350	2826	3615
351	2834	3607
352	2842	3599
353	2850	3590
354	2857	3581
355	2865	3573
356	2872	3564
357	2879	3555
358	2887	3546
359	2894	3537
360	2902	3529
361	2910	3521
362	2918	3513
363	2926	3504
364	2933	3496
365	2940	3487
366	2947	3477
367	2954	3468
368	2962	3459
369	2969	3450
370	2976	3441
371	2982	3431
372	2989	3422
373	2996	3413
374	3003	3404
375	3010	3394
376	3017	3385
377	3023	3375
378	3030	3366
379	3038	3357
380	3045	3348
381	3052	3339
382	3059	3331
383	3066	3322
384	3073	3312
385	3080	3303
386	3087	3294
387	3093	3285
388	3102	3277
389	3110	3270
390	3117	3261
391	3131	3259
392	3141	3253
393	3149	3245
394	3157	3237
395	3165	3229
396	3174	3222
397	3182	3214
398	3191	3207
399	3199	3199
400	3210	3194
401	3218	3186
402	3227	3179
403	3235	3171
404	3243	3163
405	3250	3154
406	3258	3146
407	3266	3138
408	3273	3129
409	3281	3121
410	3290	3113
411	3297	3105
412	3306	3097
413	3313	3089
414	3321	3081
415	3329	3073
416	3337	3065
417	3345	3057
418	3353	3049
419	3362	3042
420	3371	3034
421	3381	3028
422	3390	3022
423	3399	3014
424	3408	3007
425	3417	3000
426	3426	2993
427	3435	2986
428	3444	2979
429	3454	2972
430	3462	2964
431	3472	2957
432	3482	2951
433	3492	2945
434	3500	2937
435	3508	2929
436	3516	2920
437	3524	2913
438	3532	2905
439	3540	2896
440	3549	2889
441	3557	2881
442	3565	2873
443	3573	2865
444	3581	2856
445	3589	2848
446	3597	2841
447	3606	2834
448	3616	2827
449	3624	2819
450	3634	2812
451	3645	2806
452	3654	2799
453	3663	2791
454	3671	2783
455	3680	2776
456	3690	2769
457	3702	2765
458	3713	2758
459	3723	2752
460	3733	2745
461	3743	2739
462	3752	2731
463	3761	2723
464	3769	2715
465	3777	2707
466	3784	2698
467	3791	2689
468	3799	2681
469	3810	2675
470	3819	2667
471	3827	2659
472	3835	2651
473	3845	2644
474	3854	2637
475	3864	2630
476	3872	2622
477	3880	2614
478	3890	2607
479	3898	2599
480	3908	2592
481	3917	2584
482	3926	2576
483	3935	2569
484	3945	2562
485	3954	2555
486	3962	2547
487	3971	2539
488	3979	2531
489	3988	2523
490	3997	2515
491	4007	2508
492	4020	2503
493	4028	2495
494	4037	2487
495	4045	2479
496	4053	2471
497	4060	2462
498	4068	2454
499	4076	2445
500	4084	2437
501	4092	2429
502	4100	2421
503	4108	2412
504	4126	2410
505	4134	2402
506	4141	2393
507	4149	2385
508	4157	2376
509	4167	2369
510	4176	2362
511	4185	2354
512	4195	2347
513	4204	2339
514	4212	2331
515	4221	2323
516	4229	2315
517	4238	2307
518	4247	2299
519	4256	2291
520	4265	2283
521	4277	2277
522	4290	2272
523	4298	2264
524	4306	2255
525	4314	2247
526	4322	2239
527	4330	2230
528	4338	2222
529	4345	2213
530	4353	2205
531	4361	2197
532	4369	2188
533	4377	2180
534	4385	2172
535	4393	2163
536	4401	2155
537	4408	2147
538	4418	2139
539	4426	2131
540	4435	2123
541	4443	2115
542	4453	2107
543	4461	2099
544	4471	2092
545	4480	2084
546	4489	2076
547	4497	2068
548	4506	2060
549	4514	2052
550	4522	2043
551	4530	2035
552	4540	2027
553	4548	2019
554	4558	2012
555	4568	2005
556	4578	1997
557	4589	1990
558	4599	1982
559	4607	1974
560	4615	1966
561	4624	1958
562	4631	1949
563	4641	1942
564	4652	1935
565	4662	1927
566	4673	1920
567	4703	1921
568	4715	1914
569	4724	1906
570	4737	1899
571	4746	1892
572	4757	1884
573	4767	1877
574	4777	1869
575	4787	1861
576	4797	1854
577	4808	1846
578	4818	1839
579	4828	1831
580	4837	1823
581	4846	1815
582	4854	1807
583	4863	1798
584	4873	1791
585	4883	1783
586	4893	1775
587	4904	1768
588	4914	1760
589	4924	1752
590	4933	1744
591	4942	1736
592	4952	1728
593	4964	1721
594	4975	1714
595	4986	1706
596	4997	1699
597	5010	1692
598	5021	1685
599	5037	1679
600	5051	1672
601	5062	1665
602	5072	1657
603	5084	1649
604	5093	1641
605	5103	1633
606	5114	1626
607	5124	1618
608	5134	1610
609	5144	1602
610	5154	1594
611	5167	1587
612	5178	1579
613	5188	1571
614	5198	1563
615	5208	1555
616	5230	1551
617	5243	1544
618	5257	1537
619	5271	1530
620	5287	1523
621	5297	1515
622	5308	1508
623	5320	1500
624	5330	1492
625	5342	1485
626	5354	1477
627	5364	1469
628	5373	1460
629	5382	1452
630	5392	1444
631	5401	1435
632	5411	1427
633	5420	1419
634	5430	1411
635	5439	1402
636	5449	1394
637	5459	1386
638	5467	1377
639	5477	1369
640	5486	1360
641	5501	1353
642	5512	1345
643	5522	1337
644	5535	1330
645	5547	1322
646	5556	1314
647	5566	1305
648	5577	1297
649	5587	1289
